,dc_creator,dc_title,dc:publisher,dc_source,dc_identifier
14610,"Boerlin, T.",Bei den Bergbauern im Baselbieter Jura [Fortsetzung],Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '1-2', None, '1']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::114', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::114', 'doi:10.5169/seals-1005015']"
14611,"Gabbud, Maurice",La chasse au loup au Vatzeret,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '1-2', None, '2']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::118', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::118', 'doi:10.5169/seals-1005016']"
14612,"Wyss, Gottlieb",Die Stimme des Blutes,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '1-2', None, '9']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::133', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::133', 'doi:10.5169/seals-1005017']"
14613,"Schwarz, Fritz",Hexenmilch,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '1-2', None, '10']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::136', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::136', 'doi:10.5169/seals-1005018']"
14614,"Tappolet, E.",Zur Etymologie von boche und alboche,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '17']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::146', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::146', 'doi:10.5169/seals-1005019']"
14615,"Krebs, Werner",Abergläubische Kriegsgräuel im 15. Jahrhundert,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '20']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::147', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::147', 'doi:10.5169/seals-1005020']"
14616,"Gabbud, Maurice","Sabbat et ""Conjures"" : légende de Bourg-St-Pierre, Valais",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '21']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::150', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::150', 'doi:10.5169/seals-1005021']"
14617,"Knuchel, E.F.","Volkstümliches in Gottfried Kellers ""Grünem Heinrich""",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '22']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::155', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::155', 'doi:10.5169/seals-1005022']"
14618,"Müller, Josef",Kartenspielausdrücke in Uri,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '28']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::159', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::159', 'doi:10.5169/seals-1005023']"
14619,"Kessler, Gottfried",Wunderbare Äusserungen des Blutes,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '3-4', None, '28']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::161', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::161', 'doi:10.5169/seals-1005024']"
14620,"Knuchel, E.F.","Volkstümliches in Gottfried Kellers ""Grünem Heinrich"" [Schluss]",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '5-6', None, '36']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::173', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::173', 'doi:10.5169/seals-1005025']"
14621,"Gabbud, M.",I. Joujoux alpicoles et Musique rustique,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '5-6', None, '41']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::176', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::176', 'doi:10.5169/seals-1005026']"
14622,"Anneler, Hedwig","Der ""schreiende"" Bach",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '5-6', None, '43']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::179', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::179', 'doi:10.5169/seals-1005027']"
14623,"Singer, S.",Verspottung mangelhafter Kenntnis des Deutschen,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '5-6', None, '44']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::182', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::182', 'doi:10.5169/seals-1005028']"
14624,"Müller, Joseph",Volksglaube aus Uri,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '10-11', None, '81']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::197', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::197', 'doi:10.5169/seals-1005029']"
14625,"Gabbud, Maurice",Jeux valaisans,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '10-11', None, '83']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::198', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::198', 'doi:10.5169/seals-1005030']"
14626,"Gabbud, Maurice",Folk-lore militaire du Val de Bagnes,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '12', None, '89']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::212', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::212', 'doi:10.5169/seals-1005031']"
14627,"Müller, Joseph",Volkskundliches aus Uri [Fortsetzung],Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '5', '1915', '12', None, '91']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1915:5::213', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1915:5::213', 'doi:10.5169/seals-1005032']"
14628,"Wymann, E.",Volkskundliches aus dem Isental (Uri),Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '1', None, '1']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::114', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::114', 'doi:10.5169/seals-1005084']"
14629,"Gabbud, M.",La légende du blé,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '1', None, '3']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::115', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::115', 'doi:10.5169/seals-1005085']"
14630,"Bächtold, Hanns",Geheimsprachen,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '2', None, '1']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::136', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::136', 'doi:10.5169/seals-1005086']"
14631,"Gabbud, Maurice",Croyances astrologiques diverses de la Vallée de Bagnes,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '2', None, '3']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::139', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::139', 'doi:10.5169/seals-1005087']"
14632,"Gabbud, Maurice",Usages alpicoles des Bagnards,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '3', None, '17']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::142', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::142', 'doi:10.5169/seals-1005088']"
14633,"Pellandini, V.",Voci di paragone e modi di dire raccolti a Bedano,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '3', None, '18']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::145', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::145', 'doi:10.5169/seals-1005089']"
14634,Zimmermann,Aberglauben am Ende des 19. Jahrhunderts,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '3', None, '20']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::151', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::151', 'doi:10.5169/seals-1005090']"
14635,"Monnteach, G. de",Blanc Farinier,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '3', None, '21']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::154', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::154', 'doi:10.5169/seals-1005091']"
14636,"Heusler, Fritz",Das Glückshämpfeli,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '3', None, '21']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::157', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::157', 'doi:10.5169/seals-1005092']"
14637,"Müller, Joseph",Volkskundliche Splitter aus Uri,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '4-5', None, '25']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::162', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::162', 'doi:10.5169/seals-1005093']"
14638,"Tobel, E. v.",Neuere Volksetymologie,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '4-5', None, '35']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::166', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::166', 'doi:10.5169/seals-1005094']"
14639,"Savoy, Hubert",Formulettes enfantines accompagnant la fabrication des sifflets de saule,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '4-5', None, '37']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::169', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::169', 'doi:10.5169/seals-1005095']"
14640,"Boerlin, T.",Bei den Bergbauern im Baselbieter Jura,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '6', None, '41']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::175', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::175', 'doi:10.5169/seals-1005096']"
14641,"Daucourt, A.",La Saint-Nicolas dans le Jura bernois,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '6', None, '43']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::178', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::178', 'doi:10.5169/seals-1005097']"
14642,"Oeri-Sarasin, R.",Hexenmilch,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '6', None, '45']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::179', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::179', 'doi:10.5169/seals-1005098']"
14643,"Flubacher, Carl",Ausdrücke beim Kartenspiel Jass im Baselland,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '6', None, '46']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::186', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::186', 'doi:10.5169/seals-1005099']"
14644,[s.n.],Alte Weihnachtslieder,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '10-12', None, '81']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::199', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::199', 'doi:10.5169/seals-1005100']"
14645,"Rossat, A.",Chants du nouvel-an jurassiens,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '10-12', None, '91']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::200', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::200', 'doi:10.5169/seals-1005101']"
14646,"Müller, Josef",Die dankbaren Toten : Sage aus dem Kanton Tessin,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '4', '1914', '10-12', None, '93']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1914:4::201', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1914:4::201', 'doi:10.5169/seals-1005102']"
14647,"Altwegg, W.",Das Volkslied in Gottfried Kellers Prosadichtungen,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '1-2', None, '1']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::112', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::112', 'doi:10.5169/seals-1005149']"
14648,"Eberle, Mathilde",Der Graf von Pacqueville im deutschen Volkslied und Volksschauspiel,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '1-2', None, '6']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::115', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::115', 'doi:10.5169/seals-1005150']"
14649,"Geiger, Paul",Der Kiltspruch,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '1-2', None, '8']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::119', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::119', 'doi:10.5169/seals-1005151']"
14650,"Reymond, M.",Proverbes et dictons lausannois [suite],Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '3', None, '13']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::133', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::133', 'doi:10.5169/seals-1005152']"
14651,"Jacoby, A.",Kellerasseln in der Volksmedizin,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '3', None, '14']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::136', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::136', 'doi:10.5169/seals-1005153']"
14652,"Lambelet, J.",Recette d'autrefois : quand les vaches perde leur lait ou la crême,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '3', None, '15']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::139', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::139', 'doi:10.5169/seals-1005154']"
14653,"Schaller-Donauer, A.",Maibrauch in Sempach,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '3', None, '15']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::141', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::141', 'doi:10.5169/seals-1005155']"
14654,"Meyer, J.R.",Volkskundliches aus dem Aargau,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '6', None, '37']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::161', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::161', 'doi:10.5169/seals-1005156']"
14655,"Hoffmann-Krayer, E.",Ein alter Fruchtbarkeitsritus,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '6', None, '40']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::164', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::164', 'doi:10.5169/seals-1005157']"
14656,"Daucourt, A.","Dictons, proverbes et croyances jurassiennes",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '6', None, '40']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::166', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::166', 'doi:10.5169/seals-1005158']"
14657,"Rippmann, Lore",Volkskundliche Splitter,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '7-10', None, '73']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::188', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::188', 'doi:10.5169/seals-1005159']"
14658,"Daucourt, A.",Proverbes et dictons jurassiens,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '7-10', None, '75']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::191', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::191', 'doi:10.5169/seals-1005160']"
14659,"Bächtold, Hanns",Woher kommen die Kinder?,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '11', None, '77']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::195', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::195', 'doi:10.5169/seals-1005161']"
14660,"Gabbud, M.",Au bon vieux temps de l'âge du bois,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '11', None, '80']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::196', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::196', 'doi:10.5169/seals-1005162']"
14661,"Hoffmann-Krayer, E.",Schweizerische Weihnachtsorakel,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '12', None, '85']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::204', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::204', 'doi:10.5169/seals-1005163']"
14662,"Gabbud, M.",Le Diable joué,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '12', None, '90']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::208', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::208', 'doi:10.5169/seals-1005164']"
14663,"Walter, K.","Wie der Spitzname ""Mondfanger"" entstehen kann",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '3', '1913', '12', None, '91']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1913:3::209', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1913:3::209', 'doi:10.5169/seals-1005165']"
14664,"Granger, L.",Argot militaire de la Suisse romande,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '6', '1916', '1-2', None, '1']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1916:6::117', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1916:6::117', 'doi:10.5169/seals-1004966']"
14665,"Granger, L.",La chanson militaire de la Suisse romande,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '6', '1916', '1-2', None, '8']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1916:6::120', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1916:6::120', 'doi:10.5169/seals-1004967']"
14666,"Granger, L.",Les sobriquets,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '6', '1916', '1-2', None, '11']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1916:6::123', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1916:6::123', 'doi:10.5169/seals-1004968']"
14667,"Anneler, Hedwig",Das Blut des Unschuldigen,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '6', '1916', '1-2', None, '13']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1916:6::126', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1916:6::126', 'doi:10.5169/seals-1004969']"
14668,"Bächtold, Hanns",Kriminalistische Volkskunde,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '6', '1916', '3', None, '17']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1916:6::136', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1916:6::136', 'doi:10.5169/seals-1004970']"
14669,"Daucourt, A.",Défenses du Magistrat de Delémont concernant des Usages populaires,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '6', '1916', '3', None, '21']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1916:6::143', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1916:6::143', 'doi:10.5169/seals-1004971']"
14670,"Hoffmann-Krayer, E.",Karwoche und Ostern im schweizerischen Volksbrauch,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde', '201211-X', '0048-9522', '6', '1916', '4-6', None, '25']","['https://www.e-periodica.ch/digbib/view?pid=sgv-001:1916:6::153', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-001:1916:6::153', 'doi:10.5169/seals-1004972']"
