,dc_creator,dc_title,dc:publisher,dc_source,dc_identifier
16631,"Tschofen, Bernhard",Markengene trotz Namensvielfalt : über den Platz zwischen Schweizer Volkskunde und Allerweltskulturwissenschaft,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '2', None, '23']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::112', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::112', 'doi:10.5169/seals-1003799']"
16632,"Zellweger, Caspar",Zu Brauchtum und Volkskunde aus Sicht eines Dilettanten,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '2', None, '28']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::113', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::113', 'doi:10.5169/seals-1003800']"
16633,"Risi, Marius",Der lange Umbruch,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '2', None, '31']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::114', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::114', 'doi:10.5169/seals-1003801']"
16634,"['Tramer, Anne-Sophie', 'Eugster, Benjamin', 'Hammerich, Anja']","Interview mit Anne-Sophie Tramer, Studentin und Vorstandsmitglied Fachverein Populäre Kulturen, Universität Zürich",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '2', None, '35']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::115', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::115', 'doi:10.5169/seals-1003802']"
16635,"['Huber, Birgit', 'Eugster, Benjamin', 'Hammerich, Anja']","Interview mit Birgit Huber, Mitarbeiterin im Fotoarchiv der Schweizerischen Gesellschaft für Volkskunde (SGV) und Studentin am Seminar für Kulturwissenschaft und Europäische Ethnologie der Universität Basel",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '2', None, '37']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::116', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::116', 'doi:10.5169/seals-1003803']"
16636,"['Bellwald, Werner', 'Eugster, Benjamin', 'Hammerich, Anja']","Interview mit Dr. Werner Bellwald, Lehrbeauftragter an der Universität Basel und freischaffender Volkskundler",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '2', None, '40']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::117', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::117', 'doi:10.5169/seals-1003804']"
16637,"['Koller, Basil', 'Eugster, Benjamin', 'Hammerich, Anja']","Interview mit Basil Koller, Student 2. Semester, Kulturanthropologie/Medienwissenschaften, Universität Basel",Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '2', None, '42']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::118', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::118', 'doi:10.5169/seals-1003805']"
16638,"Nyffenegger, Franziska",Brienzer Holzschnittware an de [i.e. der] Côte d'Azur : über das Reisen von Souvenirherstellern und -händlern,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '3', None, '53']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::123', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::123', 'doi:10.5169/seals-1003806']"
16639,"Hofacker, Susanne",Stiftung Historisches Erbe der SBB : Schweizer Bahngeschichte als Kulturgeschichte des Reisens,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '3', None, '58']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::124', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::124', 'doi:10.5169/seals-1003807']"
16640,"Künzler, Sibylle",In - mit - durch : drei Modalitäten digitalen Reisens am Beispiel von Google Maps,Schweizerische Gesellschaft für Volkskunde,"['Schweizer Volkskunde : Korrespondenzblatt der Schweizerischen Gesellschaft für Volkskunde = Folklore suisse : bulletin de la Société suisse des traditions populaires = Folclore svizzero : bollettino della Società svizzera per le tradizioni popolari', '201211-X', '1420-4185', '105', '2015', '3', None, '64']","['https://www.e-periodica.ch/digbib/view?pid=sgv-003:2015:105::125', 'https://www.e-periodica.ch/cntmng?type=pdf&pid=sgv-003:2015:105::125', 'doi:10.5169/seals-1003808']"
